task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	f7/288830	64768	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (9)	ABORTED	-	2023-04-24 11:18:09.780	-	-	-	-	-	-	-
7	46/90961c	64781	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (16)	ABORTED	-	2023-04-24 11:18:09.807	-	-	-	-	-	-	-
3	eb/dd3766	64795	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (7)	ABORTED	-	2023-04-24 11:18:09.820	-	-	-	-	-	-	-
8	6a/28d738	64839	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (17)	ABORTED	-	2023-04-24 11:18:10.013	-	-	-	-	-	-	-
4	6b/c5b463	64854	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (10)	ABORTED	-	2023-04-24 11:18:10.025	-	-	-	-	-	-	-
2	35/baff8b	64892	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (14)	ABORTED	-	2023-04-24 11:18:10.038	-	-	-	-	-	-	-
6	93/f18d65	64923	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (3)	ABORTED	-	2023-04-24 11:18:10.047	-	-	-	-	-	-	-
1	61/711977	64968	NF_NEXTPYRAD:NEXTPYRAD:PYTASK (15)	ABORTED	-	2023-04-24 11:18:10.057	-	-	-	-	-	-	-
